Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Referee,Sh,SoT,Dist,PK,PKatt,Team,
Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,1.9,0.3,65,Craig Pawson,17,8,13.9,0,0,ManchesterCity,
Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1,0.3,59,Robert Jones,14,4,17.9,0,0,ManchesterCity,
Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,3.5,0.7,79,Jarred Gillett,29,9,17.3,0,1,ManchesterCity,
Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,2.2,1.4,68,Michael Oliver,6,4,14.8,1,1,ManchesterCity,
Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3.6,0.9,68,Andy Madley,29,13,16.4,0,0,ManchesterCity,
Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,1.3,1,57,Anthony Taylor,7,4,17.2,0,0,ManchesterCity,
Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,0.9,0.4,68,Craig Pawson,23,8,19.3,0,0,ManchesterCity,
Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.5,0.4,51,Michael Oliver,4,0,14.9,0,0,ManchesterCity,
Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,0.8,0.8,55,Robert Jones,10,5,18.8,0,0,ManchesterCity,
Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,4,0.9,60,Paul Tierney,20,9,17.2,1,1,ManchesterCity,
Premier League,Matchweek 11,Sat,Home,W,6,1,Bournemouth,1.9,0.9,65,Craig Pawson,21,8,16.4,0,0,ManchesterCity,
Premier League,Matchweek 12,Sun,Away,D,4,4,Chelsea,2.9,2.9,55,Anthony Taylor,14,9,16.6,1,1,ManchesterCity,
Premier League,Matchweek 13,Sat,Home,D,1,1,Liverpool,1.3,0.6,59,Chris Kavanagh,16,5,16.3,0,0,ManchesterCity,
Premier League,Matchweek 14,Sun,Home,D,3,3,Tottenham,2.6,0.5,55,Simon Hooper,17,4,13.4,0,0,ManchesterCity,
Premier League,Matchweek 15,Wed,Away,L,0,1,Aston Villa,0.6,2.3,54,John Brooks,2,2,7.4,0,0,ManchesterCity,
Premier League,Matchweek 16,Sun,Away,W,2,1,Luton Town,1.6,0.3,65,Tim Robinson,18,6,18.7,0,0,ManchesterCity,
Premier League,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,1.6,1.8,74,Paul Tierney,19,9,18.2,0,0,ManchesterCity,
Premier League,Matchweek 19,Wed,Away,W,3,1,Everton,2.4,1,72,John Brooks,22,8,19.5,1,1,ManchesterCity,
Premier League,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,2.2,0.3,80,David Coote,18,4,17.4,0,0,ManchesterCity,
Premier League,Matchweek 21,Sat,Away,W,3,2,Newcastle Utd,3,1.3,72,Chris Kavanagh,27,11,19.3,0,0,ManchesterCity,
Premier League,Matchweek 22,Wed,Home,W,3,1,Burnley,1.7,1.4,74,Samuel Barrott,14,4,15.8,0,0,ManchesterCity,
Premier League,Matchweek 23,Mon,Away,W,3,1,Brentford,2.1,1,72,Jarred Gillett,25,15,19.2,0,0,ManchesterCity,
Premier League,Matchweek 24,Sat,Home,W,2,0,Everton,1.6,0.3,72,John Brooks,19,3,17.4,0,0,ManchesterCity,
Premier League,Matchweek 25,Sat,Home,D,1,1,Chelsea,2.6,1.4,70,Andy Madley,31,5,15.9,0,0,ManchesterCity,
Premier League,Matchweek 18,Tue,Home,W,1,0,Brentford,2.3,0.4,70,Darren England,25,10,17.6,0,0,ManchesterCity,
Premier League,Matchweek 26,Sat,Away,W,1,0,Bournemouth,1.6,0.9,62,Jarred Gillett,15,6,15.5,0,0,ManchesterCity,
Premier League,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,3.3,0.2,73,Andy Madley,27,8,17.7,0,0,ManchesterCity,
Premier League,Matchweek 28,Sun,Away,D,1,1,Liverpool,1.6,2.7,47,Michael Oliver,10,6,18.6,0,0,ManchesterCity,
Premier League,Matchweek 30,Sun,Home,D,0,0,Arsenal,1,0.7,72,Anthony Taylor,12,1,14.2,0,0,ManchesterCity,
Premier League,Matchweek 31,Wed,Home,W,4,1,Aston Villa,3.4,0.8,67,Darren England,25,11,15.9,0,0,ManchesterCity,
Premier League,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,1.9,1.1,75,Paul Tierney,18,8,16.1,0,0,ManchesterCity,
Premier League,Matchweek 33,Sat,Home,W,5,1,Luton Town,4.2,0.5,73,John Brooks,36,12,16.9,1,1,ManchesterCity,
Premier League,Matchweek 29,Thu,Away,W,4,0,Brighton,1.4,0.6,65,Jarred Gillett,14,6,17,0,0,ManchesterCity,
Premier League,Matchweek 35,Sun,Away,W,2,0,Nott'ham Forest,0.9,1.9,66,Simon Hooper,11,5,18.7,0,0,ManchesterCity,
Premier League,Matchweek 36,Sat,Home,W,5,1,Wolves,3.7,0.3,58,Craig Pawson,18,10,15.3,2,2,ManchesterCity,
Premier League,Matchweek 37,Sat,Away,W,4,0,Fulham,3.2,0.1,64,Anthony Taylor,15,8,17.6,1,1,ManchesterCity,
Premier League,Matchweek 1,Sat,Home,W,2,1,Nott'ham Forest,0.8,1.2,78,Michael Oliver,15,7,19.1,0,0,Arsenal,
Premier League,Matchweek 2,Mon,Away,W,1,0,Crystal Palace,2,1,53,David Coote,13,2,16.4,1,1,Arsenal,
Premier League,Matchweek 3,Sat,Home,D,2,2,Fulham,3.2,0.6,71,Paul Tierney,18,9,13.8,1,1,Arsenal,
Premier League,Matchweek 4,Sun,Home,W,3,1,Manchester Utd,2.3,0.9,55,Anthony Taylor,17,5,15,0,0,Arsenal,
Premier League,Matchweek 5,Sun,Away,W,1,0,Everton,1,0.3,74,Simon Hooper,13,4,17.4,0,0,Arsenal,
Premier League,Matchweek 6,Sun,Home,D,2,2,Tottenham,1.8,1.4,47,Robert Jones,12,4,16.9,1,1,Arsenal,
Premier League,Matchweek 7,Sat,Away,W,4,0,Bournemouth,3.4,0.6,57,Michael Salisbury,13,6,15.5,2,2,Arsenal,
Premier League,Matchweek 8,Sun,Home,W,1,0,Manchester City,0.4,0.5,49,Michael Oliver,12,2,19.2,0,0,Arsenal,
Premier League,Matchweek 9,Sat,Away,D,2,2,Chelsea,1,1.3,56,Chris Kavanagh,13,3,14.3,0,0,Arsenal,
Premier League,Matchweek 10,Sat,Home,W,5,0,Sheffield Utd,2.8,0,67,Tim Robinson,12,6,17,1,1,Arsenal,
Premier League,Matchweek 11,Sat,Away,L,0,1,Newcastle Utd,0.6,1,58,Stuart Attwell,14,1,20.7,0,0,Arsenal,
Premier League,Matchweek 12,Sat,Home,W,3,1,Burnley,1.8,0.3,63,Michael Oliver,16,6,13.8,0,0,Arsenal,
Premier League,Matchweek 13,Sat,Away,W,1,0,Brentford,1.6,1.1,63,Tim Robinson,15,4,15.2,0,0,Arsenal,
Premier League,Matchweek 14,Sat,Home,W,2,1,Wolves,2.8,0.7,57,Peter Bankes,19,6,15.6,0,0,Arsenal,
Premier League,Matchweek 15,Tue,Away,W,4,3,Luton Town,2.2,0.5,66,Samuel Barrott,23,9,15.5,0,0,Arsenal,
Premier League,Matchweek 16,Sat,Away,L,0,1,Aston Villa,1.4,0.6,61,Jarred Gillett,12,3,14.8,0,0,Arsenal,
Premier League,Matchweek 17,Sun,Home,W,2,0,Brighton,2.3,0.7,49,Tim Robinson,26,8,14.2,0,0,Arsenal,
Premier League,Matchweek 18,Sat,Away,D,1,1,Liverpool,0.7,1,48,Chris Kavanagh,13,2,17.2,0,0,Arsenal,
Premier League,Matchweek 19,Thu,Home,L,0,2,West Ham,2.7,1.4,73,Michael Oliver,30,8,16.8,0,0,Arsenal,
Premier League,Matchweek 20,Sun,Away,L,1,2,Fulham,1.6,1.2,60,Joshua Smith,13,3,15.4,0,0,Arsenal,
Premier League,Matchweek 21,Sat,Home,W,5,0,Crystal Palace,3.3,0.3,60,Paul Tierney,21,7,16.7,0,0,Arsenal,
Premier League,Matchweek 22,Tue,Away,W,2,1,Nott'ham Forest,1.2,0.5,73,Simon Hooper,19,3,17.6,0,0,Arsenal,
Premier League,Matchweek 23,Sun,Home,W,3,1,Liverpool,3.5,0.4,43,Anthony Taylor,15,7,14.2,0,0,Arsenal,
Premier League,Matchweek 24,Sun,Away,W,6,0,West Ham,3.6,0.2,70,Craig Pawson,24,11,16,1,1,Arsenal,
Premier League,Matchweek 25,Sat,Away,W,5,0,Burnley,2.3,0.3,64,Jarred Gillett,15,6,16.8,1,1,Arsenal,
Premier League,Matchweek 26,Sat,Home,W,4,1,Newcastle Utd,2.8,0.2,55,Paul Tierney,18,7,13.8,0,0,Arsenal,
Premier League,Matchweek 27,Mon,Away,W,6,0,Sheffield Utd,2.3,0.2,80,Samuel Barrott,22,9,15.6,0,0,Arsenal,
Premier League,Matchweek 28,Sat,Home,W,2,1,Brentford,1.3,1,71,Robert Jones,17,5,16.4,0,0,Arsenal,
Premier League,Matchweek 30,Sun,Away,D,0,0,Manchester City,0.7,1,28,Anthony Taylor,6,2,14.2,0,0,Arsenal,
Premier League,Matchweek 31,Wed,Home,W,2,0,Luton Town,0.7,0.3,58,Craig Pawson,13,4,17.8,0,0,Arsenal,
Premier League,Matchweek 32,Sat,Away,W,3,0,Brighton,3.4,0.5,46,John Brooks,19,6,12.4,1,1,Arsenal,
Premier League,Matchweek 33,Sun,Home,L,0,2,Aston Villa,1.6,0.9,52,David Coote,18,4,17.2,0,0,Arsenal,
Premier League,Matchweek 34,Sat,Away,W,2,0,Wolves,1.2,0.2,54,Paul Tierney,24,9,17.8,0,0,Arsenal,
Premier League,Matchweek 29,Tue,Home,W,5,0,Chelsea,3.3,1.6,45,Simon Hooper,27,10,16.3,0,0,Arsenal,
Premier League,Matchweek 35,Sun,Away,W,3,2,Tottenham,1,2.3,38,Michael Oliver,9,3,14.3,0,0,Arsenal,
Premier League,Matchweek 36,Sat,Home,W,3,0,Bournemouth,3.3,0.5,55,David Coote,24,8,14,1,1,Arsenal,
Premier League,Matchweek 1,Sun,Away,D,1,1,Chelsea,1.3,1.4,35,Anthony Taylor,13,1,17.8,0,0,Liverpool,
Premier League,Matchweek 2,Sat,Home,W,3,1,Bournemouth,3,1.3,64,Thomas Bramall,25,9,16.8,0,1,Liverpool,
Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,0.9,2,41,John Brooks,9,4,17.2,0,0,Liverpool,
Premier League,Matchweek 4,Sun,Home,W,3,0,Aston Villa,2.5,0.7,63,Simon Hooper,17,4,14.7,0,0,Liverpool,
Premier League,Matchweek 5,Sat,Away,W,3,1,Wolves,2.5,0.6,65,Michael Oliver,16,5,15.8,0,0,Liverpool,
Premier League,Matchweek 6,Sun,Home,W,3,1,West Ham,3,1.1,63,Chris Kavanagh,21,6,19.3,1,1,Liverpool,
Premier League,Matchweek 7,Sat,Away,L,1,2,Tottenham,1.3,2.2,36,Simon Hooper,12,4,14.9,0,0,Liverpool,
Premier League,Matchweek 8,Sun,Away,D,2,2,Brighton,2.3,2.3,54,Anthony Taylor,13,3,18.8,1,1,Liverpool,
Premier League,Matchweek 9,Sat,Home,W,2,0,Everton,2.2,0.1,77,Craig Pawson,25,5,22.4,1,1,Liverpool,
Premier League,Matchweek 10,Sun,Home,W,3,0,Nott'ham Forest,3.2,0.4,72,Chris Kavanagh,21,8,19.5,0,0,Liverpool,
Premier League,Matchweek 11,Sun,Away,D,1,1,Luton Town,2.6,0.8,73,Andy Madley,24,6,17.5,0,0,Liverpool,
Premier League,Matchweek 12,Sun,Home,W,3,0,Brentford,1.7,1.6,58,Paul Tierney,17,10,19,0,0,Liverpool,
Premier League,Matchweek 13,Sat,Away,D,1,1,Manchester City,0.6,1.3,41,Chris Kavanagh,8,3,15.9,0,0,Liverpool,
Premier League,Matchweek 14,Sun,Home,W,4,3,Fulham,2.1,1.2,61,Stuart Attwell,26,12,18.9,0,0,Liverpool,
Premier League,Matchweek 15,Wed,Away,W,2,0,Sheffield Utd,1.7,1,75,Simon Hooper,15,8,16.4,0,0,Liverpool,
Premier League,Matchweek 16,Sat,Away,W,2,1,Crystal Palace,1.2,1.7,76,Andy Madley,14,2,17.4,0,0,Liverpool,
Premier League,Matchweek 17,Sun,Home,D,0,0,Manchester Utd,2.3,0.8,68,Michael Oliver,34,8,17.7,0,0,Liverpool,
Premier League,Matchweek 18,Sat,Home,D,1,1,Arsenal,1,0.7,52,Chris Kavanagh,13,3,20.1,0,0,Liverpool,
Premier League,Matchweek 19,Tue,Away,W,2,0,Burnley,1.8,0.8,68,Paul Tierney,19,10,17.4,0,0,Liverpool,
Premier League,Matchweek 20,Mon,Home,W,4,2,Newcastle Utd,7,0.6,61,Anthony Taylor,32,12,16.2,1,2,Liverpool,
Premier League,Matchweek 21,Sun,Away,W,4,0,Bournemouth,1.5,1.4,60,Andy Madley,14,7,19.2,0,0,Liverpool,
Premier League,Matchweek 22,Wed,Home,W,4,1,Chelsea,2.9,0.6,50,Paul Tierney,27,13,19.9,0,1,Liverpool,
Premier League,Matchweek 23,Sun,Away,L,1,3,Arsenal,0.4,3.5,57,Anthony Taylor,10,1,19.7,0,0,Liverpool,
Premier League,Matchweek 24,Sat,Home,W,3,1,Burnley,2.8,1.3,70,Tim Robinson,25,10,15.4,0,0,Liverpool,
